X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type
127.378916,37.680931,경기,Charcoal,가평 대성리,25 ,경기문화재연구원,1825,20,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,16 ,경기문화재연구원,1840,20,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,22 ,경기문화재연구원,1845,20,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,5 ,경기문화재연구원,1855,25,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,11 ,경기문화재연구원,1855,25,呂·凸자형
127.378916,37.680931,경기,Charred material,가평 대성리,10 ,경기문화재연구원,1859,17,呂·凸자형
127.378916,37.680931,경기,Charred material,가평 대성리,6 ,경기문화재연구원,1865,20,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,14 ,경기문화재연구원,1871,16,呂·凸자형
127.378916,37.680931,경기,"Charcoal, Charred material",가평 대성리,3 ,경기문화재연구원,1875,15,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,1  ,겨례문화유산연구원,1881,8,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,18 ,경기문화재연구원,1890,25,呂·凸자형
127.378916,37.680931,경기,Charred seed,가평 대성리,10,겨례문화유산연구원,1899,9,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,4  ,겨례문화유산연구원,1917,9,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,7  ,겨례문화유산연구원,1925,25,呂·凸자형
127.378916,37.680931,경기,Charred material,가평 대성리,19 ,경기문화재연구원,1930,20,呂·凸자형
127.378916,37.680931,경기,Charcoal,가평 대성리,6  ,겨례문화유산연구원,1970,20,呂·凸자형
127.3945,37.76334,경기,Charcoal,가평 덕현리,C-1-1,한림대학교박물관,1831,35,呂·凸자형
127.547765,37.885677,경기,Charcoal,가평 목동리,삼국-2,국토문화재연구원,1490,22,방형
127.547765,37.885677,경기,Charcoal,가평 목동리,삼국-5,국토문화재연구원,1379,19,장방형
127.547765,37.885677,경기,Charcoal,가평 목동리,삼국-10,국토문화재연구원,1477,24,방형
127.515236,37.82972,경기,Charcoal,가평 읍내리,철기시대 주거지,경강문화재연구원,1920,24,呂·凸자형
127.512166,37.831534,경기,Charcoal,가평 읍내리,2,경강문화재연구원,1275,22,신라
127.512166,37.831534,경기,Charcoal,가평 읍내리,3,경강문화재연구원,1740,30,신라
127.512166,37.831534,경기,Charcoal,가평 읍내리,4,경강문화재연구원,1260,30,신라
127.515236,37.82972,경기,Charcoal,가평 읍내리,철기시대 주거지,경강문화재연구원,1920,24,불명
127.512046,37.832895,경기,Charcoal,가평 읍내리,통일신라시대 주거지,한국문화재재단,1235,15,신라
127.413167,37.727682,경기,Charcoal,가평 청평리,원삼국-1,서울문화유산연구원,1780,30,呂·凸자형
127.413167,37.727682,경기,Charcoal,가평 청평리,원삼국-4,서울문화유산연구원,1695,22,呂·凸자형
127.414004,37.72769,경기,Charcoal,가평 청평리,주-1(1),한국문화재재단,1655,14,呂·凸자형
127.414004,37.72769,경기,Charcoal,가평 청평리,주-1(2),한국문화재재단,1752,17,呂·凸자형
127.414004,37.72769,경기,Charcoal,가평 청평리,주-2,한국문화재재단,1753,16,장방형
127.414004,37.72769,경기,Charcoal,가평 청평리,주-4,한국문화재재단,1865,24,불명
127.413689,37.727308,경기,Charcoal,가평 청평리,주거지-1,한국문화재재단,1708,26,呂·凸자형
127.413689,37.727308,경기,Charcoal,가평 청평리,주거지-2,한국문화재재단,1784,26,呂·凸자형
127.413689,37.727308,경기,Charcoal,가평 청평리,주거지-3,한국문화재재단,1617,23,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,가-4,고려문화재연구원,1600,60 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,가-10,고려문화재연구원,1600,60 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,가-9,고려문화재연구원,1620,60 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,가-2,고려문화재연구원,1620,60 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,가-8,고려문화재연구원,1690,60 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,나-9,고려문화재연구원,1720,50 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,나-10,고려문화재연구원,1720,50 ,呂·凸자형
127.364665,37.795516,경기,Charcoal,가평 항사리,나-16,고려문화재연구원,1740,50 ,呂·凸자형
